Country,Camp,School,Gender,B_Count,B_ICT_1,B_ICT_2,B_ICT_3,B_ICT_4,B_ICT_5,B_ICT_6,B_ICT_7,B_ICT_8,B_ICT_9,B_ICT_10,B_ICT_11,B_ICT_12,B_ICT_13,B_ICT_14,B_ICT_15,B_ICT_16,B_ICT_17,B_ICT_18,B_ICT_19,B_ICT_20,B_ICT_21,E_Count,E_ICT_1,E_ICT_2,E_ICT_3,E_ICT_4,E_ICT_5,E_ICT_6,E_ICT_7,E_ICT_8,E_ICT_9,E_ICT_10,E_ICT_11,E_ICT_12,E_ICT_13,E_ICT_14,E_ICT_15,E_ICT_16,E_ICT_17,E_ICT_18,E_ICT_19,E_ICT_20,E_ICT_21,Are you able to describe how do you turn the tablet on?,Are you able to describe how to change the volume on the tablet?,Are you able to describe how to create a new document on the tablet?,Are you able to describe how to know the author of the first news search result?,Are you able to describe how to know the date of the first news search result?,Are you able to describe how to perform calculations on the tablet?,Are you able to describe how to read a book on the tablet?,Are you able to describe how to take a picture using the tablet?,Are you able to describe how to use the tablet to search for news about Tanzania?,Are you able to describe how to use the tablet to search for the definition of a word you do not know?,Are you able to describe how to use the tablet to search the internet for your favourite artist?,Are you able to describe how to use the tablet to share a picture with a classmate?,Can you create a new document on the tablet?,Can you find the sum of 71 + 89 on the tablet?,Can you search the internet for your favourite artist using the tablet?,Can you show me how to change the volume on the tablet?,Can you show me how to share a picture with a classmate using the tablet?,Can you show me how to turn the tablet on?,Can you take a picture of me?,What is the date of the first news search result?,Who is the author of the first news search result?,Are you able to describe how do you turn the tablet on?,Are you able to describe how to change the volume on the tablet?,Are you able to describe how to create a new document on the tablet?,Are you able to describe how to know the author of the first news search result?,Are you able to describe how to know the date of the first news search result?,Are you able to describe how to perform calculations on the tablet?,Are you able to describe how to read a book on the tablet?,Are you able to describe how to take a picture using the tablet?,Are you able to describe how to use the tablet to search for news about Tanzania?,Are you able to describe how to use the tablet to search for the definition of a word you do not know?,Are you able to describe how to use the tablet to search the internet for your favourite artist?,Are you able to describe how to use the tablet to share a picture with a classmate?,Can you create a new document on the tablet?,Can you find the sum of 71 + 89 on the tablet?,Can you search the internet for your favourite artist using the tablet?,Can you show me how to change the volume on the tablet?,Can you show me how to share a picture with a classmate using the tablet?,Can you show me how to turn the tablet on?,Can you take a picture of me?,What is the date of the first news search result?,Who is the author of the first news search result?
Tanzania,Nyarugusu,Amitie,Female,10,7,2,1,1,1,3,2,2,1,2,1,3,2,2,1,3,3,8,4,1,1,13,10,6,2,0,0,6,6,7,1,3,1,3,2,5,2,6,4,10,7,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,6,5,5,3,3,6,5,6,5,5,4,5,5,6,5,6,5,6,6,4,3
Tanzania,Nyarugusu,Amitie,Male,38,35,24,8,6,5,25,18,27,17,21,20,24,12,23,19,26,23,35,27,7,8,28,27,22,12,12,13,20,22,25,19,19,17,20,12,20,18,25,20,27,24,9,10,12,8,3,6,7,8,8,9,7,6,8,7,3,9,6,8,6,13,10,6,6,27,23,20,11,10,23,23,23,23,23,22,19,21,25,21,24,19,27,24,11,13
Tanzania,Nyarugusu,Fraternite,Female,7,4,2,1,1,1,3,1,3,1,1,1,1,1,3,1,2,1,4,2,1,1,15,15,13,7,6,6,10,8,11,10,10,9,9,7,9,8,15,9,15,12,7,7,2,1,0,1,1,1,1,3,1,1,0,1,2,1,2,2,2,4,3,2,2,3,2,1,1,1,2,2,3,2,2,2,2,1,2,3,2,2,3,3,3,3
Tanzania,Nyarugusu,Fraternite,Male,31,23,20,4,6,6,16,8,18,11,12,11,13,6,16,15,22,14,23,19,8,9,48,46,44,21,24,27,41,36,44,35,39,39,36,25,44,40,46,39,46,44,26,22,12,10,4,4,4,7,8,10,9,7,8,9,6,9,8,16,10,17,17,5,5,23,20,17,13,13,15,12,22,19,21,16,15,17,13,19,21,16,23,22,11,12
Tanzania,Nyarugusu,Hodari,Female,18,7,2,2,2,2,4,1,6,1,0,1,3,3,5,1,5,3,8,8,3,3,16,12,10,0,0,0,7,3,9,0,3,2,2,0,6,2,9,3,12,10,0,0,2,2,0,0,0,1,1,1,2,2,2,1,0,1,1,2,1,2,1,1,1,9,9,4,4,4,8,8,8,6,7,7,6,5,8,8,9,7,9,9,4,4
Tanzania,Nyarugusu,Hodari,Male,18,12,6,2,0,0,8,1,9,0,0,0,3,1,9,1,7,6,14,10,1,1,25,21,16,2,0,0,15,9,17,3,6,5,7,2,17,5,16,9,21,18,1,1,6,6,1,0,0,5,3,4,3,2,4,2,3,5,3,5,2,7,6,1,2,15,12,9,8,9,13,11,13,11,11,11,9,10,13,10,12,10,15,13,8,9
Tanzania,Nyarugusu,Rehema,Female,19,8,1,0,0,1,4,3,3,0,1,1,0,3,3,1,3,1,8,4,1,1,14,11,8,0,0,0,3,1,3,1,1,1,0,0,4,1,7,0,11,3,0,0,1,1,0,1,1,1,1,2,1,1,3,1,0,1,2,1,1,2,2,1,1,3,3,2,1,1,3,1,3,2,2,2,2,2,3,2,3,2,3,3,1,1
Tanzania,Nyarugusu,Rehema,Male,22,15,6,2,1,2,7,3,9,2,1,0,0,1,7,0,4,1,14,9,2,1,17,15,12,2,0,0,9,5,10,0,0,2,0,1,9,1,12,0,15,10,0,0,11,4,0,2,2,4,2,5,3,2,2,2,0,3,4,3,4,9,7,0,0,17,15,12,5,4,14,11,15,15,14,13,8,11,14,13,15,9,17,15,4,4
Unknown,Unknown,Charite,Female,38,10,7,0,0,0,1,0,1,0,0,1,1,1,4,1,9,3,12,3,2,2,39,13,10,3,1,0,10,5,8,3,3,2,3,1,10,2,11,2,13,8,1,0,1,1,2,1,1,2,2,2,2,1,1,1,3,2,2,1,1,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0
Unknown,Unknown,Charite,Male,53,16,12,4,6,8,6,5,13,9,11,14,11,4,10,12,16,8,18,14,6,3,51,37,33,8,8,11,32,26,31,29,28,32,28,11,32,32,34,28,37,33,10,9,12,8,4,4,5,7,8,7,7,6,7,6,4,7,9,7,5,12,8,5,4,14,13,4,5,4,12,7,11,10,12,11,9,3,11,12,13,8,14,11,4,6
Unknown,Unknown,Elimu,Female,18,3,1,0,0,1,1,0,3,0,0,2,0,1,2,1,3,1,4,3,2,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3,2,5,3,2,1,4,4,0,1,1,2,0,1,2,0,0,0,0,2,1,4,0,4,1,0,0
Unknown,Unknown,Elimu,Male,17,5,1,2,0,1,1,1,3,0,0,3,1,1,2,0,3,1,6,6,0,0,33,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5,2,0,0,5,5,2,3,2,3,3,4,3,3,3,4,2,3,3,4,3,7,4,2,2,9,7,2,2,3,7,5,8,7,4,4,6,3,7,4,7,6,9,8,4,4
Unknown,Unknown,Matunda,Female,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,5,4,0,0,16,2,2,0,0,0,1,0,2,0,0,0,1,0,2,0,2,1,2,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,2,0,3,2,0,0,2,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,2,1,0,0
Unknown,Unknown,Matunda,Male,17,8,2,0,0,0,2,0,5,0,1,1,0,0,2,2,2,0,8,6,1,1,16,4,2,0,1,0,1,0,3,1,1,0,1,0,1,0,1,0,4,1,1,1,6,6,1,0,1,5,1,4,2,2,3,3,0,3,2,9,3,9,6,1,0,6,3,0,1,1,5,0,4,1,0,0,1,0,5,1,4,1,6,5,0,0
